------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
#,NAME,,P0,,,P1,,
,,,(s),,,,,
------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
262,B0523+11,mlt+78,0.35443759451370,13,hlk+04,7.36052E-17,6,hlk+04
263,J0525-6607,mgi+79,8.0470,2,kkm+03,6.5E-11,5,kkm+03
264,B0525+21,sr68,3.74553925030,3,ywml10,4.00530E-14,15,ywml10
265,J0529-0715,clh+20,0.689223601359,9,clh+20,5.755E-16,9,clh+20
,,,,,,,,
266,B0529-66,mhah83,0.975736826742,20,lbs+20,1.54735E-14,4,lbs+20
267,J0530-3847,msk+24,0.906501950563,17,msk+24,6.212E-16,17,msk+24
268,J0530-39,mss+20,0.907,0,mss+20,*,0,*
269,J0532-6639,mfl+06,0.64274275093,3,mfl+06,5.354E-15,13,mfl+06
270,J0532-69,rcl+13,1.1491957,14,rcl+13,*,0,*
,,,,,,,,
271,J0533+0402,snt97,0.963017825057,19,lbs+20,1.6002E-16,8,lbs+20
272,J0533+6759,san16,0.0043881599698794,4,saa+23,1.2618E-20,6,saa+23
273,J0533-4524,ovm+20,0.157284525096,2,ovm+20,2.8024E-16,2,ovm+20
274,B0531+21,sr68,0.0333924123,12,ljg+15,4.20972E-13,3,ljg+15
275,J0534+34,ttm18,*,0,*,*,0,*
,,,,,,,,
276,J0534-13,mss+20,0.979,0,mss+20,*,0,*
277,J0534-6703,mfl+06,1.81756503106,17,mfl+06,4.2505E-13,6,mfl+06
278,J0535-66,rcl+13,0.21052436,3,rcl+13,*,0,*
279,J0535-6935,ckm+01,0.20051133,2,mfl+06,1.15E-14,3,mfl+06
280,B0538-75,mlt+78,1.245856132914,8,jbv+19,5.777E-16,13,jbv+19
,,,,,,,,
281,J0537-69,rcl+13,0.11261321,2,rcl+13,*,0,*
282,J0537-6910,mgz+98,0.0161222220245,4,mgm+04,5.1784338E-14,11,mgm+04
283,J0538+2817,fcwa95,0.14315825891177,11,klh+03,3.6694515E-15,13,klh+03
284,J0540+3207,cfl+06,0.524271,0,dmo+24,4.4811E-16,2,nab+13
285,J0540+4542,crafts23,0.401141464893,4,wyw+23,1.170E-17,9,wyw+23
,,,,,,,,
286,B0540-69,shh84,0.0505697030222,18,fak15,4.789091E-13,3,fak15
287,J0540-7125,lml+98,1.286014595,3,dsb+98,8.2E-16,8,dsb+98
288,J0542-68,rcl+13,0.4251890,8,rcl+13,*,0,*
289,B0540+23,dls72,0.2459747688901,19,hlk+04,1.5422691E-14,19,hlk+04
290,J0543-6851,mfl+06,0.70895418575,6,mfl+06,3.94E-15,3,mfl+06
,,,,,,,,
291,J0544+20,dsm+16,*,0,*,*,0,*
292,J0545-03,kkl+15,1.07393,2,kkl+15,*,0,*
293,J0546+2441,clm+05,2.84385,0,dmo+24,7.65E-15,3,clm+05
294,J0550+09,dsm+16,1.745,0,dsm+16,*,0,*
295,J0553+41,ttk+24,0.5600,10,ttk+24,*,0,*
,,,,,,,,
296,J0553+4111,crafts23,0.5594934351697,4,wyw+23,1.37E-17,3,wyw+23
297,J0554+3107,pga+13,0.464960965736,16,pga+13,1.426028E-13,11,pga+13
298,J0555+3948,bck+13,1.1469058,2,bck+13,*,0,*
299,J0555-7056,mfl+06,0.82783808575,7,mfl+06,5.96E-15,3,mfl+06
300,J0556-67,hcb+22,0.7905492,7,hcb+22,*,0,*
,,,,,,,,
301,J0557+1550,skl+15,0.0025563670767829,6,skl+15,7.352E-21,20,skl+15
302,J0557-2948,kmk+18,0.0436426389000,3,kmk+18,7.3E-20,5,kmk+18
303,B0559-57,mlt+78,2.261364513,3,nmc81,2.78E-15,9,nmc81
304,B0559-05,mlt+78,0.3959691695432,5,hlk+04,1.302098E-15,5,hlk+04
305,J0605+3757,san16,0.00272795420005466,8,saa+23,4.717E-21,3,saa+23
,,,,,,,,
306,J0608+00,dsm+13,1.0762,0,dsm+13,*,0,*
307,J0608+1635,ttk+17,0.945844752002,3,psf+22,1.351042E-14,18,psf+22
308,J0609+2130,lxf+05,0.05569801392951,2,lxf+05,2.35E-19,2,lxf+05
309,J0610-2100,bjd+06,0.00386132476693726,9,vbc+22,1.232661E-20,11,vbc+22
310,J0611+04,dsm+16,1.67443,0,dsm+16,*,0,*
,,,,,,,,
311,J0611+1436,lsb+17,0.27032946262,3,lsb+17,3.997E-15,3,lsb+17
312,J0611+30,cnst96,1.41209,0,dmo+24,*,0,*
313,B0609+37,stwd85,0.29798232657188,18,hlk+04,5.94685E-17,18,hlk+04
314,J0612+37216,slr+14,0.443871367665,20,lsk+18,1.50E-16,14,lsk+18
315,J0613+3731,cvh+14,0.61919818110,7,cvh+14,3.2448E-15,20,cvh+14
,,,,,,,,
316,J0613-0200,lnl+95,0.003061844088094675,4,abb+23,9.59067E-21,8,abb+23
