# filename mjd_start mjd_end
FRB20201124A_3_tracking-M01_0005.fits 59347.24910971313777777777 59347.24940797475555555555
FRB20201124A_3_tracking-M01_0006.fits 59347.24940797475555555555 59347.24970623637333333333
FRB20201124A_3_tracking-M01_0007.fits 59347.24970623637333333333 59347.25000449799111111111
FRB20201124A_3_tracking-M01_0008.fits 59347.25000449799111111111 59347.25030275960888888888
FRB20201124A_3_tracking-M01_0009.fits 59347.25030275960888888888 59347.25060102122666666666
FRB20201124A_3_tracking-M01_0010.fits 59347.25060102122666666666 59347.25089928284444444444
FRB20201124A_3_tracking-M01_0011.fits 59347.25089928284444444444 59347.25119754446222222222
FRB20201124A_3_tracking-M01_0012.fits 59347.25119754446222222222 59347.25149580608000000000
FRB20201124A_3_tracking-M01_0013.fits 59347.25149580608000000000 59347.25179406769777777777
FRB20201124A_3_tracking-M01_0014.fits 59347.25179406769777777777 59347.25209232931555555555
FRB20201124A_3_tracking-M01_0015.fits 59347.25209232931555555555 59347.25239059093333333333
FRB20201124A_3_tracking-M01_0016.fits 59347.25239059093333333333 59347.25268885255111111111
FRB20201124A_3_tracking-M01_0017.fits 59347.25268885255111111111 59347.25298711416888888888
FRB20201124A_3_tracking-M01_0018.fits 59347.25298711416888888888 59347.25328537578666666666
FRB20201124A_3_tracking-M01_0019.fits 59347.25328537578666666666 59347.25358363740444444444
FRB20201124A_3_tracking-M01_0020.fits 59347.25358363740444444444 59347.25388189902222222222
FRB20201124A_3_tracking-M01_0021.fits 59347.25388189902222222222 59347.25418016064000000000
FRB20201124A_3_tracking-M01_0022.fits 59347.25418016064000000000 59347.25447842225777777777
FRB20201124A_3_tracking-M01_0023.fits 59347.25447842225777777777 59347.25477668387555555555
FRB20201124A_3_tracking-M01_0024.fits 59347.25477668387555555555 59347.25507494549333333333
FRB20201124A_3_tracking-M01_0025.fits 59347.25507494549333333333 59347.25537320711111111111
FRB20201124A_3_tracking-M01_0026.fits 59347.25537320711111111111 59347.25567146872888888888
FRB20201124A_3_tracking-M01_0027.fits 59347.25567146872888888888 59347.25596973034666666666
FRB20201124A_3_tracking-M01_0028.fits 59347.25596973034666666666 59347.25626799196444444444
FRB20201124A_3_tracking-M01_0029.fits 59347.25626799196444444444 59347.25656625358222222222
FRB20201124A_3_tracking-M01_0030.fits 59347.25656625358222222222 59347.25686451520000000000
FRB20201124A_3_tracking-M01_0031.fits 59347.25686451520000000000 59347.25716277681777777777
FRB20201124A_3_tracking-M01_0032.fits 59347.25716277681777777777 59347.25746103843555555555
FRB20201124A_3_tracking-M01_0033.fits 59347.25746103843555555555 59347.25775930005333333333
FRB20201124A_3_tracking-M01_0034.fits 59347.25775930005333333333 59347.25805756167111111111
FRB20201124A_3_tracking-M01_0035.fits 59347.25805756167111111111 59347.25835582328888888888
FRB20201124A_3_tracking-M01_0036.fits 59347.25835582328888888888 59347.25865408490666666666
FRB20201124A_3_tracking-M01_0037.fits 59347.25865408490666666666 59347.25895234652444444444
FRB20201124A_3_tracking-M01_0038.fits 59347.25895234652444444444 59347.25925060814222222222
FRB20201124A_3_tracking-M01_0039.fits 59347.25925060814222222222 59347.25954886976000000000
FRB20201124A_3_tracking-M01_0040.fits 59347.25954886976000000000 59347.25984713137777777777
FRB20201124A_3_tracking-M01_0041.fits 59347.25984713137777777777 59347.26014539299555555555
FRB20201124A_3_tracking-M01_0042.fits 59347.26014539299555555555 59347.26044365461333333333
FRB20201124A_3_tracking-M01_0043.fits 59347.26044365461333333333 59347.26074191623111111111
FRB20201124A_3_tracking-M01_0044.fits 59347.26074191623111111111 59347.26104017784888888888
FRB20201124A_3_tracking-M01_0045.fits 59347.26104017784888888888 59347.26133843946666666666
FRB20201124A_3_tracking-M01_0046.fits 59347.26133843946666666666 59347.26163670108444444444
FRB20201124A_3_tracking-M01_0047.fits 59347.26163670108444444444 59347.26193496270222222222
FRB20201124A_3_tracking-M01_0048.fits 59347.26193496270222222222 59347.26223322432000000000
FRB20201124A_3_tracking-M01_0049.fits 59347.26223322432000000000 59347.26253148593777777777
FRB20201124A_3_tracking-M01_0050.fits 59347.26253148593777777777 59347.26282974755555555555
FRB20201124A_3_tracking-M01_0051.fits 59347.26282974755555555555 59347.26312800917333333333
FRB20201124A_3_tracking-M01_0052.fits 59347.26312800917333333333 59347.26342627079111111111
FRB20201124A_3_tracking-M01_0053.fits 59347.26342627079111111111 59347.26372453240888888888
FRB20201124A_3_tracking-M01_0054.fits 59347.26372453240888888888 59347.26402279402666666666
FRB20201124A_3_tracking-M01_0055.fits 59347.26402279402666666666 59347.26432105564444444444
FRB20201124A_3_tracking-M01_0056.fits 59347.26432105564444444444 59347.26461931726222222222
