# filename mjd_start mjd_end
FRB20201124A_tracking-M01_0199.fits 59311.34182413526518518518 59311.34189870066962962962
FRB20201124A_tracking-M01_0200.fits 59311.34189870066962962962 59311.34197326607407407407
FRB20201124A_tracking-M01_0201.fits 59311.34197326607407407407 59311.34204783147851851851
FRB20201124A_tracking-M01_0202.fits 59311.34204783147851851851 59311.34212239688296296296
FRB20201124A_tracking-M01_0203.fits 59311.34212239688296296296 59311.34219696228740740740
FRB20201124A_tracking-M01_0204.fits 59311.34219696228740740740 59311.34227152769185185185
FRB20201124A_tracking-M01_0205.fits 59311.34227152769185185185 59311.34234609309629629629
FRB20201124A_tracking-M01_0206.fits 59311.34234609309629629629 59311.34242065850074074074
FRB20201124A_tracking-M01_0207.fits 59311.34242065850074074074 59311.34249522390518518518
FRB20201124A_tracking-M01_0208.fits 59311.34249522390518518518 59311.34256978930962962962
FRB20201124A_tracking-M01_0209.fits 59311.34256978930962962962 59311.34264435471407407407
FRB20201124A_tracking-M01_0210.fits 59311.34264435471407407407 59311.34271892011851851851
FRB20201124A_tracking-M01_0211.fits 59311.34271892011851851851 59311.34279348552296296296
FRB20201124A_tracking-M01_0212.fits 59311.34279348552296296296 59311.34286805092740740740
FRB20201124A_tracking-M01_0213.fits 59311.34286805092740740740 59311.34294261633185185185
FRB20201124A_tracking-M01_0214.fits 59311.34294261633185185185 59311.34301718173629629629
FRB20201124A_tracking-M01_0215.fits 59311.34301718173629629629 59311.34309174714074074074
FRB20201124A_tracking-M01_0216.fits 59311.34309174714074074074 59311.34316631254518518518
FRB20201124A_tracking-M01_0217.fits 59311.34316631254518518518 59311.34324087794962962962
FRB20201124A_tracking-M01_0218.fits 59311.34324087794962962962 59311.34331544335407407407
FRB20201124A_tracking-M01_0219.fits 59311.34331544335407407407 59311.34339000875851851851
FRB20201124A_tracking-M01_0220.fits 59311.34339000875851851851 59311.34346457416296296296
FRB20201124A_tracking-M01_0221.fits 59311.34346457416296296296 59311.34353913956740740740
FRB20201124A_tracking-M01_0222.fits 59311.34353913956740740740 59311.34361370497185185185
