BurstID,  ObsDate,             MJD,        DM,     Width,        PeakFlux,        PeakFlux_error,          Fluence,          Fluence_error,       Energy_c,       Energy_w, BandWidth,        Width,         PeakFlux,         PeakFlux_error,         Fluence,         Fluence_error,       Energy_w
       ,         ,     Barycentric,          , Full Band,       Full Band,       Full Band,        Full Band,        Full Band,      Full Band,      Full Band,          , Limited Band,     Limited Band,     Limited Band,    Limited Band,    Limited Band,   Limited Band
       ,         ,                , (pc/cm^3),      (ms),           (mJy),           (mJy),          (Jy ms),          (Jy ms),          (erg),          (erg),     (MHz),         (ms),            (mJy),            (mJy),         (Jy ms),         (Jy ms),          (erg)
116,20210928,59484.81607980800000000000 ,411.51,12.21,171.17,0.13,2.09,0.002,  5.850(59)e+38,  2.340(24)e+38,450,11.07,188.74,0.71,2.09,0.02,  2.312(22)e+38
117,20210928,59484.81620339700000000000 ,411.51,4.42,14.93,0.13,0.066,0.001,  1.847(28)e+37, 7.389(112)e+36,200,4.2,33.63,0.34,0.141,0.001,  6.942(45)e+36
118,20210928,59484.81648460900000000000 ,411.51,5.72,66.95,0.08,0.383,0.001,  1.072(11)e+38,  4.288(45)e+37,200,5.11,166.25,0.18,0.85,0.008,  4.178(40)e+37
119,20210928,59484.81655590000000000000 ,411.51,6.19,157.4,0.04,0.975,0.001,  2.729(28)e+38,  1.092(11)e+38,350,5.32,225.18,0.14,1.198,0.011,   1.031(9)e+38
120,20210928,59484.81655652400000000000 ,411.51,5.07,10.06,0.17,0.051,0.001,  1.428(28)e+37, 5.710(112)e+36,100,4.46,40.27,0.44,0.179,0.003,  4.411(67)e+36
121,20210928,59484.81706112900000000000 ,411.51,6.9,117.29,0.09,0.809,0.001,  2.264(22)e+38,  9.058(90)e+37,250,6.35,257.01,0.23,1.631,0.014,   1.003(8)e+38
122,20210928,59484.81711177900000000000 ,411.51,5.49,298.76,0.06,1.64,0.001,  4.590(45)e+38,  1.836(18)e+38,350,4.97,397.86,0.25,1.978,0.018,  1.702(16)e+38
123,20210928,59484.81711213400000000000 ,411.51,4.52,10.63,0.05,0.048,0.001,   1.344(1)e+37,   5.374(1)e+36,150,4.19,43.88,0.09,0.184,0.002,  6.785(67)e+36
124,20210928,59484.81711254100000000000 ,411.51,17.91,237.31,0.05,4.25,0.001,  1.190(12)e+39,  4.758(47)e+38,450,17.54,263.04,0.09,4.615,0.042,  5.105(47)e+38
125,20210928,59484.81755680500000000000 ,411.51,6.2,193.85,0.06,1.201,0.001,  3.362(34)e+38,  1.345(13)e+38,450,5.15,208.08,0.14,1.071,0.011,  1.185(12)e+38
126,20210928,59484.81755728800000000000 ,411.51,9.94,265.82,0.29,2.643,0.003,  7.398(73)e+38,  2.959(29)e+38,250,8.39,547.94,0.44,4.597,0.052,  2.825(32)e+38
